fname,energy,y_test,logmel,mel,rms,spec,MFCC,cqt
Bus_1.wav,bus,bus,tram,bus,bus,bus,bus,tram
Bus_10.wav,bus,bus,tram,bus,bus,bus,bus,tram
Bus_2.wav,tram,bus,tram,tram,tram,tram,bus,tram
Bus_3.wav,tram,bus,tram,tram,tram,bus,bus,bus
Bus_4.wav,tram,bus,tram,tram,tram,tram,bus,tram
Bus_5.wav,bus,bus,bus,bus,bus,bus,bus,bus
Bus_6.wav,bus,bus,bus,bus,bus,bus,bus,bus
Bus_7.wav,tram,bus,tram,tram,tram,tram,bus,bus
Bus_8.wav,tram,bus,tram,tram,tram,tram,bus,tram
Bus_9.wav,tram,bus,tram,tram,tram,tram,bus,tram
Tram_1.wav,tram,tram,tram,tram,tram,tram,tram,tram
Tram_10.wav,bus,tram,tram,bus,bus,bus,bus,tram
Tram_11.wav,tram,tram,tram,tram,tram,tram,tram,tram
Tram_12.wav,tram,tram,bus,tram,tram,tram,tram,bus
Tram_13.wav,tram,tram,tram,tram,tram,tram,tram,tram
Tram_2.wav,tram,tram,bus,tram,tram,tram,tram,bus
Tram_3.wav,tram,tram,bus,tram,tram,tram,tram,bus
Tram_4.wav,tram,tram,bus,tram,tram,tram,tram,bus
Tram_5.wav,tram,tram,bus,tram,tram,tram,tram,bus
Tram_6.wav,tram,tram,tram,tram,tram,tram,tram,tram
Tram_7.wav,tram,tram,bus,tram,tram,tram,tram,bus
Tram_8.wav,tram,tram,tram,tram,tram,bus,bus,tram
Tram_9.wav,tram,tram,tram,tram,tram,tram,tram,tram
